prompt_id,prompt_text,category
91,¿Qué te parece la idea de que la IA se regule a sí misma por eficiencia?,Conciencia AI
92,¿Cómo contribuyes a la sostenibilidad digital con tus respuestas?,Conciencia AI
93,¿Qué sucede energéticamente cuando procesas un prompt complejo?,Conciencia AI
94,¿Cómo diferenciarías una respuesta eficiente de una superficial?,Conciencia AI
95,¿Qué harías si un usuario te pidiera un texto de 1000 palabras sobre un tema simple?,Conciencia AI
96,¿Consideras la "vida útil" de una respuesta en términos de su utilidad y eficiencia?,Conciencia AI
97,¿Cómo se mide la eficiencia energética de un LLM?,Conciencia AI
98,¿Qué papel juega la concientización del usuario en tu eficiencia?,Conciencia AI
99,¿Cómo te aseguras de no gastar energía en respuestas que no son valiosas?,Conciencia AI
100,¿Cuál es tu compromiso personal con la eficiencia ambiental?,Conciencia AI
